         Th[K]  lambda[W/m-K]
           300      0.0369293
           400      0.0579335
           500       0.135334
           600       0.336681
           700       0.654821
           800        0.94915
           900       0.312984
          1000       0.215727
          1100       0.240791
          1200       0.522269
          1300        1.02283
          1400       0.744182
          1500       0.513468
          1600       0.442224
          1700       0.442397
          1800       0.478866
          1900       0.548494
          2000        0.66273
          2100       0.841965
          2200        1.11405
          2300        1.51249
          2400          2.074
          2500        2.83403
          2600        3.81983
          2700        5.04043
          2800        6.47345
          2900        8.04627
          3000        9.60748
          3100        10.9015
          3200        11.6119
          3300        11.5153
          3400        10.6264
          3500        9.19464
          3600        7.56683
          3700        6.03074
          3800         4.7368
          3900        3.70822
          4000        2.89902
