         Th[K]      mu[Pa-s]
           300   1.36105e-05
           400   1.75964e-05
           500   2.11139e-05
           600   2.36549e-05
           700   2.49212e-05
           800    2.7574e-05
           900   3.11308e-05
          1000   3.35291e-05
          1100   3.56955e-05
          1200   3.77869e-05
          1300   3.97939e-05
          1400   4.17777e-05
          1500   4.37503e-05
          1600    4.5697e-05
          1700   4.76157e-05
          1800   4.95088e-05
          1900   5.13797e-05
          2000   5.32317e-05
          2100   5.50066e-05
          2200   5.67653e-05
          2300   5.85118e-05
          2400   6.02485e-05
          2500   6.19743e-05
          2600   6.36799e-05
          2700   6.53426e-05
          2800   6.69199e-05
          2900   6.83491e-05
          3000   6.95548e-05
          3100   7.04698e-05
          3200   7.10606e-05
          3300   7.13534e-05
          3400   7.14468e-05
          3500   7.14883e-05
          3600   7.16186e-05
          3700   7.19278e-05
          3800   7.24468e-05
          3900   7.31666e-05
          4000   7.40592e-05
