   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300       0.010176       -3.32477             3.04415e-117              1.02324e-38              1.04691e-75              5.97375e-80              1.6839e-101               0.00250743              1.82657e-11                 0.114191              9.40348e-72              8.60364e-95              6.37369e-43             3.76024e-135             1.01073e-119             1.29353e-172              1.46031e-79             3.04379e-174              6.39807e-25               2.9304e-06                 0.196485                 0.686814                        1
       350      0.0130498        -3.2587              2.07452e-99              9.77904e-33              1.32403e-64              3.44487e-68               4.3884e-86               0.00549929              2.60273e-09                 0.117198              7.72987e-61              3.78429e-80              3.86561e-36             2.99811e-114             2.48389e-101             3.06255e-146              2.96463e-67             1.48899e-147              4.66844e-21              3.75799e-05                 0.190463                 0.686802                        1
       400      0.0166699       -3.18936              5.03434e-86              3.02485e-28              2.86932e-56              2.31021e-59              1.61353e-74               0.00922396              1.09062e-07                 0.121019              1.19808e-52              3.69283e-69              4.68841e-31              1.46015e-98              1.57998e-87             1.93734e-126              5.13165e-58             1.63705e-127              3.66635e-18              0.000253871                 0.182775                 0.686728                        1
       450      0.0205167       -3.11779              1.31549e-75              9.48109e-25               8.8736e-50               1.7104e-52              1.60076e-65                 0.013018              2.01101e-06                 0.125195              2.82384e-46              1.31209e-60              4.18303e-27              2.35322e-86              8.71548e-77             5.02151e-111              7.93581e-51             6.55738e-112              6.51116e-16               0.00111717                 0.174237                 0.686431                        1
       500      0.0242616       -3.04337              2.86549e-67              5.96719e-22              1.39849e-44              5.39505e-47              2.51648e-58                0.0162717              2.08144e-05                 0.129554              3.54415e-41              9.09813e-54              5.98203e-24              1.38041e-76              3.43104e-68               1.0955e-98              4.48024e-45              2.03322e-99              4.07576e-14               0.00362845                 0.164963                 0.685562                        1
       550      0.0277702       -2.96362              1.91535e-60              1.16256e-19              2.52757e-40              1.71211e-42               1.9302e-52                0.0184019              0.000141381                 0.134167              5.26027e-37              3.57791e-48              2.23925e-21              1.35776e-68              3.68153e-61               1.3794e-88              2.25149e-40              3.42006e-89              1.18933e-12               0.00936915                 0.154371                 0.683549                        1
       600      0.0310815       -2.87422              9.37099e-55              9.33266e-18              8.99827e-37              9.69253e-39               1.5254e-47                0.0188826              0.000699766                 0.139105              1.57178e-33              1.62183e-43              3.02673e-19              6.20645e-62              2.62617e-55              3.62326e-80              1.81595e-36              1.14477e-80              1.94369e-11                0.0201025                 0.141539                 0.679671                        1
       650      0.0345105       -2.76888              6.12837e-50              3.75669e-16              9.16429e-34              1.45504e-35              2.08091e-43                0.0174811               0.00271022                 0.144013               1.3667e-30              1.38279e-39              1.83955e-17              2.67233e-56              2.30624e-50              4.83695e-73              3.52485e-33              1.87713e-73              2.01612e-10                 0.036824                 0.125733                 0.673239                        1
       700      0.0388604       -2.63797              8.23856e-46              8.72438e-15              3.47315e-31              7.68788e-33              7.08537e-40                0.0145347                0.0086127                 0.147507              4.49966e-28              3.14724e-36              5.87993e-16              1.79611e-51              3.87334e-46              6.20331e-67              2.19985e-30              2.87181e-67              1.45129e-09                0.0587118                 0.106938                 0.663695                        1
       750      0.0456056       -2.46565              3.12218e-42              1.29805e-13              5.90227e-29              1.75922e-30              7.90712e-37                0.0108941                0.0231058                 0.146574              6.80293e-26              2.47701e-33              1.11301e-14              2.73013e-47              1.72227e-42              1.21961e-61              5.48097e-28              6.57831e-62              7.75325e-09                0.0829448                 0.086085                 0.650396                        1
