   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0        -8.1898             2.02943e-117              2.81454e-38              1.40244e-76              1.49351e-80             4.63177e-101                 0.484425              2.44687e-12               0.00307379              2.35099e-72              2.36654e-94              7.23342e-42             2.50683e-135             2.78014e-119             8.62353e-173              1.65729e-78              2.0292e-174              6.59983e-25              3.32567e-05                 0.448072                0.0643953                        1
       350              0       -8.04496              1.38301e-99              2.21464e-32                2.651e-65              8.61214e-69               9.9383e-86                  0.48821              5.21126e-10               0.00704756              1.93246e-61               8.5702e-80              2.97387e-35             1.99874e-114             5.62521e-101              2.0417e-146              2.28074e-66             9.92662e-148              3.96467e-21              0.000289108                 0.440067                0.0643871                        1
       400              0       -7.88134              3.35623e-86              6.03335e-28               7.5224e-57              5.77405e-60              3.21834e-74                 0.492731              2.85923e-08                0.0124767              2.99443e-53              7.36571e-69              2.79786e-30              9.73433e-99              3.15142e-87             1.29156e-126              3.06237e-57             1.09136e-127              2.74163e-18                 0.001515                  0.42893                0.0643476                        1
       450              0       -7.70709              8.76991e-76              1.73781e-24              2.79976e-50              4.27141e-53              2.93407e-65                 0.495901              6.34506e-07                0.0186948              7.05203e-47              2.40496e-60                2.108e-26              1.56881e-86              1.59748e-76             3.34768e-111              3.99918e-50             4.37159e-112              4.47063e-16               0.00562989                 0.415558                0.0642151                        1
       500              0       -7.52858              1.91032e-67              1.03362e-21              5.02676e-45              1.34455e-47              4.35898e-58                  0.49439              7.48156e-06                0.0251073              8.83268e-42              1.57595e-53              2.69229e-23              9.20273e-77              5.94315e-68               7.3033e-99              2.01639e-44              1.35548e-99              2.63919e-14                0.0163303                 0.400295                0.0638703                        1
       550              0       -7.34769               1.2769e-60               1.9421e-19               9.9755e-41               4.2484e-43              3.22447e-52                 0.483688              5.57987e-05                0.0313474              1.30527e-37              5.97705e-48              9.37363e-21              9.05176e-69              6.15015e-61              9.19599e-89              9.42486e-40              2.28004e-89              7.39513e-13                0.0392198                 0.382557                0.0631318                        1
       600              0       -7.16034              6.24733e-55               1.5287e-17              3.80168e-37              2.38601e-39              2.49862e-47                 0.458773              0.000295644                0.0372449              3.86925e-34              2.65656e-43              1.21814e-18              4.13764e-62              4.30169e-55               2.4155e-80              7.30848e-36              7.63182e-81              1.17562e-11                0.0809045                    0.361                0.0617819                        1
       650              0       -6.95373              4.08558e-50              6.12091e-16              4.07557e-34              3.53589e-36              3.39051e-43                   0.4158                0.0012053                0.0427239              3.32121e-31              2.25303e-39              7.32529e-17              1.78155e-56              3.75763e-50              3.22464e-73              1.40363e-32              1.25142e-73              1.19741e-10                 0.146637                 0.333997                0.0596361                        1
       700              0       -6.69995              5.49238e-46               1.4306e-14              1.61178e-31              1.83379e-33              1.16184e-39                 0.354666               0.00399689                0.0476507               1.0733e-28              5.16078e-36              2.37156e-15              1.19741e-51              6.35141e-46              4.13554e-67              8.87268e-30              1.91454e-67               8.5148e-10                 0.236803                  0.30024                0.0566431                        1
       750              0       -6.34535              2.08145e-42              2.15832e-13              2.85783e-29              4.09884e-31              1.31475e-36                  0.28104                0.0111876                0.0515447              1.58503e-26              4.11865e-33              4.61576e-14              1.82009e-47               2.8637e-42              8.13075e-62              2.27301e-27              4.38554e-62               4.5055e-09                  0.34398                 0.259287                0.0529606                        1
       800              0       -5.80399              2.81833e-39              2.26872e-12               2.6085e-27              4.62401e-29              6.01397e-34                 0.205574                0.0269588                0.0531044              1.23912e-24              1.38767e-30              5.87769e-13              8.26426e-44              4.38666e-39              3.48046e-57              2.76406e-25              2.14533e-57              1.86575e-08                 0.453493                 0.211942                0.0489267                        1
       850              0       -4.98542              1.63448e-36              1.76561e-11              1.34436e-25              2.97522e-27              1.30099e-31                 0.139394                0.0560295                0.0500455              5.74714e-23               2.2916e-28              5.24872e-12              1.38694e-40              2.75351e-36               4.2428e-53              1.80909e-23              2.94112e-53              6.30811e-08                 0.548891                 0.160721                 0.044919                        1
