   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -3.67925             1.52208e-115              6.32918e-37              8.46854e-76              3.46223e-79              1.04157e-99                 0.293633              1.47753e-11               0.00149439              5.45001e-71              5.32174e-93              4.87712e-41             1.88012e-133             6.25184e-118             6.46765e-171              1.11742e-77              1.5219e-172              4.58732e-24              0.000224233                 0.243238                  0.46141                        1
       350              0       -3.59528              1.03726e-97              4.97405e-31              1.60623e-64              1.99572e-67              2.23213e-84                 0.294477              3.15749e-09               0.00344965              4.47814e-60              1.92486e-78              2.00021e-34             1.49905e-112              1.26341e-99             1.53128e-144              1.53401e-65             7.44496e-146              2.75132e-20               0.00194452                 0.239116                 0.461013                        1
       400              0       -3.50078              2.51717e-84              1.34906e-26              4.58992e-56              1.33571e-58              7.19619e-73                 0.291952              1.74461e-07               0.00619348              6.92704e-52              1.64697e-67              1.86512e-29              7.30075e-97              7.04658e-86             9.68671e-125              2.04145e-56             8.18523e-126              1.89083e-17                0.0100994                 0.232624                 0.459131                        1
       450              0       -3.38471              6.57743e-74              3.83317e-23              1.73412e-49              9.82536e-52              6.47181e-64                  0.27825              3.93002e-06               0.00956266              1.62215e-45              5.30475e-59              1.36748e-25              1.17661e-84              3.52364e-75             2.51076e-109              2.59431e-49             3.27869e-110              3.02441e-15                0.0365216                 0.222628                 0.453034                        1
       500              0       -3.22331              1.43274e-65              2.20348e-20              3.21235e-44              3.05141e-46               9.2925e-57                 0.242034              4.78109e-05                0.0136712              2.00455e-40              3.35962e-52              1.63138e-22              6.90204e-75              1.26697e-66              5.47748e-97              1.22182e-43              1.01661e-97              1.70248e-13                0.0989531                 0.206675                 0.438619                        1
       550              0       -2.98147              9.57677e-59              3.85709e-18              6.76676e-40               9.4193e-42              6.40393e-51                 0.178375              0.000378504                0.0192324              2.89397e-36              1.18707e-46              4.92973e-20              6.78882e-67              1.22144e-59              6.89699e-87              4.95667e-39              1.71003e-87              4.34176e-12                 0.206263                 0.181968                 0.413783                        1
       600              0        -2.6362              4.68549e-53              2.69123e-16              2.82474e-36              5.15032e-38              4.39876e-46                 0.104455                0.0021967                0.0274164              8.35194e-33              4.67681e-42              5.03378e-18              3.10323e-60              7.57301e-54              1.81163e-78              3.02012e-35              5.72386e-79              5.95659e-11                 0.334326                  0.14779                 0.383815                        1
       650              0       -2.20533              3.06419e-48              9.16471e-15               3.2858e-33              7.50358e-35              5.07653e-42                0.0495348                0.0097173                0.0370266                7.048e-30              3.37341e-38              2.18962e-16              1.33616e-54              5.62622e-49              2.41848e-71              4.19562e-32              9.38566e-72              5.07287e-10                 0.438316                 0.107319                 0.358086                        1
       700              0       -1.70008              4.11928e-44               1.8004e-13              1.28855e-30              3.88348e-32              1.46216e-38                0.0210877                0.0319533                0.0406066              2.27297e-27              6.49477e-35              5.00805e-15              8.98055e-50              7.99316e-45              3.10165e-65              1.87366e-29               1.4359e-65              3.02574e-09                  0.50006                0.0675829                  0.33871                        1
       750              0       -1.11128              1.56109e-40              2.31459e-12              1.91399e-28              8.75914e-30              1.40995e-35               0.00881085                0.0749273                0.0308267              3.38718e-25              4.41685e-32              7.07781e-14              1.36507e-45              3.07104e-41              6.09807e-60              3.48544e-27              3.28915e-60               1.3767e-08                 0.527459                0.0355039                 0.322472                        1
