   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -5.06258             2.02943e-117              2.63894e-38              1.10379e-76              3.29615e-80              4.3428e-101                 0.374386              1.92582e-12               0.00190408              5.18859e-72              2.21889e-94              6.35902e-42             2.50683e-135             2.60669e-119             8.62353e-173              1.45695e-78              2.0292e-174               1.3657e-24              2.92365e-05                 0.310027                 0.313654                        1
       350              0       -4.96434              1.38301e-99              2.07565e-32              2.09181e-65               1.9007e-68               9.3146e-86                 0.376715              4.11202e-10               0.00438797              4.26493e-61              8.03235e-80              2.61231e-35             1.99874e-114             5.27218e-101              2.0417e-146              2.00345e-66             9.92662e-148              8.20089e-21              0.000253959                 0.305024                 0.313619                        1
       400              0       -4.85742              3.35623e-86              5.65175e-28              5.95556e-57              1.27438e-59              3.01478e-74                  0.37941              2.26369e-08               0.00782046              6.60896e-53              6.89984e-69              2.45513e-30              9.73433e-99               2.9521e-87             1.29156e-126              2.68724e-57             1.09136e-127              5.66828e-18               0.00132942                  0.29799                  0.31345                        1
       450              0       -4.74311              8.76991e-76              1.62691e-24              2.22506e-50              9.42855e-53              2.74682e-65                 0.380923              5.04262e-07                0.0118076              1.55664e-46              2.25149e-60              1.84753e-26              1.56881e-86              1.49553e-76             3.34768e-111              3.50503e-50             4.37159e-112              9.23853e-16               0.00493424                  0.28945                 0.312885                        1
       500              0       -4.62106              1.91032e-67              9.66971e-22              4.01187e-45              2.96891e-47              4.07791e-58                 0.378688              5.97106e-06                0.0159925              1.95035e-41              1.47433e-53              2.35628e-23              9.20273e-77              5.55994e-68               7.3033e-99              1.76474e-44              1.35548e-99              5.45187e-14                0.0142923                 0.279605                 0.311416                        1
       550              0       -4.48772               1.2769e-60              1.81525e-19              8.00139e-41                9.388e-43              3.01387e-52                  0.36917              4.47564e-05                 0.020168              2.88435e-37              5.58666e-48              8.18914e-21              9.05176e-69              5.74845e-61              9.19599e-89              8.23389e-40              2.28004e-89              1.52742e-12                0.0342638                 0.268075                 0.308278                        1
       600              0       -4.33548              6.24733e-55              1.42712e-17              3.06875e-37               5.2802e-39              2.33259e-47                 0.348457              0.000238647                0.0242683              8.56256e-34              2.48004e-43              1.06163e-18              4.13764e-62              4.01585e-55               2.4155e-80              6.36947e-36              7.63182e-81              2.42876e-11                0.0705097                 0.253963                 0.302563                        1
       650              0       -4.15146              4.08558e-50               5.7046e-16              3.31707e-34              7.84459e-36               3.1599e-43                 0.313704              0.000980978                0.0283011               7.3683e-31              2.09979e-39              6.36271e-17              1.78155e-56              3.50205e-50              3.22464e-73              1.21919e-32              1.25142e-73              2.47584e-10                 0.127368                 0.236116                  0.29353                        1
       700              0       -3.91562              5.49238e-46              1.33035e-14              1.32524e-31              4.08462e-33              1.08042e-39                 0.265219               0.00328632                0.0322141               2.3907e-28              4.79912e-36              2.05081e-15              1.19741e-51              5.90631e-46              4.13554e-67              7.67268e-30              1.91454e-67              1.76369e-09                 0.204776                 0.213476                 0.281028                        1
       750              0       -3.59859              2.08145e-42              2.00182e-13              2.37562e-29              9.18242e-31              1.21942e-36                 0.207972                0.0092999                0.0356175              3.55086e-26                 3.82e-33              3.97065e-14              1.82009e-47              2.65605e-42              8.13075e-62              1.95533e-27              4.38554e-62              9.36155e-09                 0.295904                 0.185412                 0.265794                        1
       800              0        -3.1632              2.81833e-39              2.09885e-12               2.1873e-27              1.04366e-28              5.56368e-34                 0.150582                0.0226058                0.0373395              2.79675e-24              1.28377e-30              5.03047e-13              8.26426e-44              4.05822e-39              3.48046e-57              2.36564e-25              2.14533e-57              3.89577e-08                 0.388126                 0.152103                 0.249244                        1
       850              0       -2.58115              1.63448e-36              1.63052e-11              1.12989e-25              6.77409e-27              1.20145e-31                 0.101385                0.0470908                0.0353512              1.30853e-22              2.11627e-28              4.47628e-12              1.38694e-40              2.54284e-36               4.2428e-53              1.54285e-23              2.94112e-53              1.32637e-07                 0.468112                 0.115201                  0.23286                        1
       900              0       -1.87644              4.67518e-34              9.87708e-11              3.46049e-24              2.76267e-25              1.39272e-29                0.0646371                 0.082797                0.0283278              3.97579e-21              1.92929e-26              2.97507e-11              1.01537e-37              7.58876e-34              1.81523e-49              6.02695e-22              1.39624e-49              3.83428e-07                 0.527751                  0.07858                 0.217907                        1
       950              0       -1.16227              7.37299e-32              4.87128e-10              6.57233e-23              7.64542e-24              9.59985e-28                0.0400382                 0.121563                0.0183014              8.42902e-20              1.07241e-24              1.55936e-10              3.69622e-35              1.21752e-31              3.21492e-46              1.54141e-20              2.71283e-46              9.73385e-07                 0.566709                0.0476702                 0.205717                        1
      1000              0      -0.577614               7.0088e-30              2.02799e-09              8.24315e-22              1.52777e-22              4.27706e-26                0.0247501                 0.151804                0.0096769               1.3215e-18              3.93608e-23              6.75317e-10              7.42936e-33              1.15878e-29              2.69002e-43              2.78031e-19              2.46607e-43               2.2341e-06                 0.590245                0.0262395                 0.197282                        1
      1050              0      -0.165717               4.3168e-28               7.3335e-09              7.44237e-21               2.3124e-21              1.31687e-24                0.0155581                 0.169537               0.00454893              1.60189e-17               1.0168e-21              2.50594e-09              8.97539e-31              7.08083e-28              1.18349e-40              3.75132e-18              1.16889e-40              4.73131e-06                 0.604273                0.0137783                   0.1923                        1
      1100              0       0.119769              1.82754e-26              2.35408e-08              5.24577e-20              2.74951e-20              2.95463e-23                0.0100326                  0.17831               0.00207774              1.55288e-16              1.94465e-20              8.18126e-09              6.98578e-29              2.95878e-26              2.98842e-38              3.95988e-17              3.15681e-38              9.36006e-06                 0.612732               0.00724322                 0.189595                        1
      1150              0       0.334808              5.58433e-25              6.82221e-08              3.05465e-19              2.64556e-19              5.04182e-22               0.00665496                 0.182395              0.000971812              1.23737e-15              2.86786e-19              2.39657e-08              3.70982e-27              8.89689e-25              4.65613e-36              3.38642e-16              5.22719e-36              1.74477e-05                 0.617906               0.00391719                 0.188138                        1
      1200              0       0.514259              1.28279e-23               1.8092e-07              1.52313e-18              2.11261e-18              6.77677e-21               0.00454096                 0.184298              0.000475394              8.29608e-15              3.37186e-18              6.39581e-08              1.41006e-25              2.00761e-23              4.75472e-34              2.41267e-15              5.64121e-34              3.08651e-05                 0.621126               0.00220171                 0.187327                        1
      1250              0       0.676052               2.2923e-22              4.43915e-07              6.66049e-18              1.43083e-17              7.38693e-20               0.00318318                 0.185207              0.000244504              4.77531e-14              3.24944e-17              1.57407e-07               3.9932e-24              3.52054e-22              3.34785e-32              1.46515e-14              4.17695e-32               5.2137e-05                 0.623173               0.00128835                 0.186851                        1
      1300              0       0.829055              3.28018e-21              1.01706e-06               2.5991e-17               8.3738e-17              6.69181e-19               0.00228819                 0.185655              0.000132059              2.40104e-13              2.62711e-16              3.60823e-07                8.717e-23              4.94072e-21              1.69663e-30              7.72927e-14              2.21617e-30              8.45439e-05                 0.624502              0.000783499                 0.186553                        1
      1350              0        0.97774               3.8525e-20               2.1927e-06              9.17498e-17              4.30309e-16              5.14369e-18               0.00168334                 0.185883              7.46475e-05              1.07036e-12              1.81735e-15              7.76766e-07              1.50994e-21              5.68917e-20              6.41909e-29               3.5992e-13              8.74346e-29              0.000132207                 0.625378              0.000493771                 0.186352                        1
